common_name,scientific_name,description
Ashy Minivet,Pericrocotus divaricatus,"The Ashy Minivet is a small, striking bird with ash-gray plumage and bright orange underparts. It is known for its active, flitting behavior as it forages for insects in the treetops. This minivet often forms mixed-species flocks and can be found in a variety of forested and open habitats across Southeast Asia. Its vibrant colors and lively behavior make it a favorite among bird watchers."
Long-tailed Shrike,Lanius schach,"The Long-tailed Shrike is a medium-sized bird with a distinctive long tail and striking black, white, and gray plumage. It is known for its hunting prowess, preying on insects, small mammals, and birds. This shrike is often seen perched prominently, scanning for prey. It is native to South and Southeast Asia, where it inhabits open woodlands, grasslands, and agricultural areas."
Black-naped Oriole,Oriolus chinensis,"The Black-naped Oriole is a vibrant bird with bright yellow plumage and a distinctive black nape and eye mask. It is known for its melodious calls and feeding on fruits, insects, and nectar. This oriole is commonly found in forested and wooded areas across Southeast Asia. Its striking coloration and musical calls make it a popular species among bird enthusiasts."
Crow-billed Drongo,Dicrurus annectens,"The Crow-billed Drongo is a large, glossy black drongo with a distinctive crow-like bill. It is known for its aggressive behavior and wide range of vocalizations, which it uses to defend its territory. This drongo feeds on insects and small animals, often catching prey in mid-air. It is native to the forests and woodlands of South and Southeast Asia."
Greater Racket-tailed Drongo,Dicrurus paradiseus,"The Greater Racket-tailed Drongo is a striking bird with glossy black plumage and long, slender tail feathers with racket-shaped tips. It is known for its elaborate vocalizations and acrobatic flying skills. This drongo feeds on insects and small vertebrates, often seen catching prey mid-flight. It inhabits lowland forests and wooded areas in Southeast Asia."
Ashy Drongo,Dicrurus leucophaeus,"The Ashy Drongo is a sleek, dark gray bird with a distinctive forked tail and a white patch on its throat. It is known for its aerial agility and wide variety of calls. This drongo feeds on insects and small vertebrates, often seen catching prey while in flight. It is native to forests and open woodlands across South and Southeast Asia."
Malaysian Pied Fantail,Rhipidura javanica,"The Malaysian Pied Fantail is a small, lively bird with a striking black and white plumage and a fan-shaped tail. It is known for its energetic feeding behavior, catching insects in mid-air with its agile flight. This fantail is commonly found in forests, gardens, and mangroves throughout Malaysia and neighboring regions. Its cheerful calls and lively antics make it a favorite among bird watchers."
Blyth's Paradise Flycatcher,Terpsiphone affinis,"Blyth's Paradise Flycatcher is a medium-sized bird with an elegant appearance, characterized by a long tail and striking white and black plumage. It is known for its beautiful song and active foraging behavior, feeding on insects and small invertebrates. This flycatcher inhabits forests and woodlands in South Asia, including parts of India and Sri Lanka."
Large-billed Crow,Corvus macrorhynchos,"The Large-billed Crow is a robust bird with a distinctive large bill and glossy black plumage. It is known for its intelligence and adaptability, feeding on a wide range of food items including insects, fruits, and carrion. This crow is found in various habitats, including forests, urban areas, and agricultural lands across South and Southeast Asia."
Cinereous Bulbul,Hemixos cinereus,"The Cinereous Bulbul is a medium-sized bird with dull gray plumage and a distinctive black cap. It is known for its melodious calls and insectivorous diet, often feeding on insects and small fruits. This bulbul inhabits forests and wooded areas across South Asia, including parts of India and Sri Lanka. Its subtle coloration and pleasant song make it a charming species for bird enthusiasts."
Black-headed Bulbul,Brachypodius melanocephalos,"The Black-headed Bulbul is a striking bird with a black head and bright yellow underparts. It is known for its melodious calls and active feeding behavior, often foraging for fruits and insects in the dense foliage. This bulbul inhabits forested areas and can be found in parts of Southeast Asia, including Malaysia and Indonesia. Its distinctive appearance and lively nature make it a favorite among bird watchers."
Olive-winged Bulbul,Pycnonotus plumosus,"The Olive-winged Bulbul is a medium-sized bird with olive-green wings and a pale underbelly. It is known for its cheerful and varied song, often heard in the dense canopy where it forages for fruits and insects. This species is native to forests and forest edges in Southeast Asia, including Borneo and the Philippines. Its subtle colors and pleasant vocalizations make it a charming species to observe."
Straw-headed Bulbul,Pycnonotus zeylanicus,"The Straw-headed Bulbul is a colorful bird with a straw-colored head and contrasting dark body. It is known for its distinctive, melodious song, which is often performed during courtship and territorial disputes. This bulbul inhabits forested areas and gardens in parts of South and Southeast Asia, including Sri Lanka and India. Its vibrant appearance and beautiful song make it a sought-after species for bird enthusiasts."
Red-whiskered Bulbul,Pycnonotus jocosus,"The Red-whiskered Bulbul is a striking bird with a black crest, white cheeks, and prominent red whiskers on its face. It is known for its lively behavior and varied diet, which includes fruits, insects, and nectar. This bulbul is commonly found in gardens and wooded areas across South and Southeast Asia. Its distinctive appearance and cheerful calls make it a popular species for bird watchers."
Yellow-vented Bulbul,Pycnonotus goiavier,"The Yellow-vented Bulbul is a small, colorful bird with a yellow vent and a distinctive white eyebrow stripe. It is known for its energetic feeding behavior, often seen foraging for fruits and insects in the trees. This bulbul is native to forested areas and urban environments in Southeast Asia, including the Philippines and Malaysia. Its bright colors and lively nature make it a favorite among bird watchers."
Pacific Swallow,Hirundo tahitica,"The Pacific Swallow is a sleek, agile bird with a blue-gray back and a deeply forked tail. It is known for its impressive aerial acrobatics and its ability to catch insects on the wing. This swallow is found in a variety of habitats across the Pacific Islands and Southeast Asia, often nesting in cliffs, caves, and man-made structures. Its graceful flight and vibrant plumage make it a popular species to observe."
Yellow-browed Warbler,Phylloscopus inornatus,"The Yellow-browed Warbler is a small, active bird with a yellowish-green back and a distinctive yellow supercilium. It is known for its high-pitched calls and its insectivorous diet, feeding on small insects and spiders. This warbler migrates across Asia, from its breeding grounds in northern regions to wintering areas in Southeast Asia. Its subtle coloration and lively behavior make it an interesting species for bird watchers."
Eastern Crowned Warbler,Phylloscopus coronatus,"The Eastern Crowned Warbler is a small warbler with a greenish-yellow body and a distinctive pale crown. It is known for its high, trilling calls and its foraging behavior, feeding on insects and small invertebrates. This warbler breeds in the forests of eastern Asia and migrates to Southeast Asia for the winter. Its delicate appearance and melodious calls make it a charming species to observe."
Sakhalin Leaf Warbler,Phylloscopus borealoides,"The Sakhalin Leaf Warbler is a small, olive-green warbler with a pale underbelly and a subtle yellow wash. It is known for its soft, melodious calls and its insectivorous diet. This warbler breeds in the forests of Sakhalin Island and migrates to warmer regions in East Asia during the winter. Its quiet demeanor and subtle coloration make it a fascinating species for bird watchers."
Arctic Warbler,Phylloscopus borealis,"The Arctic Warbler is a small, pale green warbler with a white belly and a faintly streaked breast. It is known for its soft, repetitive calls and its preference for feeding on insects and spiders. This warbler breeds in the Arctic regions and migrates to Southeast Asia and the Himalayas for the winter. Its migratory patterns and subtle plumage make it an interesting species for bird enthusiasts."
Oriental Reed Warbler,Acrocephalus orientalis,"The Oriental Reed Warbler is a medium-sized warbler with a pale brown body and a white underbelly. It is known for its distinctive, reedy song and its feeding behavior, which includes catching insects and small invertebrates. This warbler is commonly found in reed beds and marshes across East Asia, where it breeds and migrates between temperate and tropical regions. Its vocalizations and habitat preferences make it a unique species to observe."
Black-browed Reed Warbler,Acrocephalus bistrigiceps,"The Black-browed Reed Warbler is a small, slender warbler with a brown and white plumage and a distinctive dark brow. It is known for its melodious, complex song and its diet of insects and spiders. This warbler inhabits reed beds and marshes in parts of Southeast Asia and migrates to warmer regions during the winter. Its distinctive song and specialized habitat make it a fascinating species for bird watchers."
Pallas's Grasshopper Warbler,Helopsaltes certhiola,"Pallas's Grasshopper Warbler is a small, secretive bird with a brown and white streaked plumage. It is known for its distinctive, insect-like call and its preference for grassy, open habitats where it feeds on insects and small invertebrates. This warbler breeds in the northern parts of Asia and migrates to Southeast Asia for the winter. Its elusive behavior and unique calls make it an intriguing species to study."
Lanceolated Warbler,Locustella lanceolata,"The Lanceolated Warbler is a small, cryptic bird with a streaked brown body and a pale underbelly. It is known for its distinctive, reedy song and its diet of insects and spiders. This warbler breeds in the grasslands and scrublands of northern Asia and migrates to Southeast Asia for the winter. Its secretive nature and unique vocalizations make it a challenging and interesting species for bird enthusiasts."
Common Tailorbird,Orthotomus sutorius,"The Common Tailorbird is a small, lively bird with a greenish-brown body and a distinctive long tail. It is known for its unique nesting behavior, where it sews leaves together to create a secure nest. This tailorbird feeds on insects and small invertebrates, often seen flitting through the foliage in search of food. It is native to forests and gardens across South and Southeast Asia, making it a charming species to observe."
Dark-necked Tailorbird,Orthotomus atrogularis,"The Dark-necked Tailorbird is a small, vibrant bird with a dark brown neck and a bright green back. It is known for its melodious calls and its unique nesting behavior, which involves stitching leaves together to create a secure nest. This tailorbird is found in the forests and gardens of South Asia, including India and Sri Lanka. Its striking appearance and interesting behavior make it a fascinating species for bird watchers."
Rufous-tailed Tailorbird,Orthotomus sericeus,"The Rufous-tailed Tailorbird is a small, active bird with a greenish body and a distinctive rufous tail. It is known for its unique nesting behavior, where it sews leaves together to create a secure nest. This tailorbird is found in dense undergrowth and forest edges across Southeast Asia, including Malaysia and Indonesia. Its vibrant tail and fascinating nesting habits make it a favorite among bird watchers."
Ashy Tailorbird,Orthotomus ruficeps,"The Ashy Tailorbird is a small, agile bird with an ashy gray body and a rufous head. It is known for its distinctive call and its skillful nest-building, sewing leaves together to form a cradle for its eggs. This tailorbird inhabits mangroves, forest edges, and gardens in Southeast Asia, including the Philippines and Borneo. Its striking coloration and unique nesting behavior make it a charming species to observe."
Swinhoe's White-eye,Zosterops simplex,"Swinhoe's White-eye is a small, lively bird with greenish upperparts and a white eye-ring. It is known for its sociable nature and its preference for feeding on nectar, fruits, and insects. This white-eye inhabits forests, gardens, and mangroves in parts of East Asia, including China and Taiwan. Its cheerful presence and bright eye-ring make it a delightful species for bird enthusiasts."
Chinese Hwamei,Garrulax canorus,"The Chinese Hwamei is a medium-sized bird with a brown body and a distinctive white eye-ring. It is known for its melodious song, which is often heard in its native forest and scrubland habitats. This hwamei is found in East Asia, including China and Vietnam. Its beautiful song and striking appearance make it a popular species for bird watchers and aviculturists."
White-crested Laughingthrush,Garrulax leucolophus,"The White-crested Laughingthrush is a large, sociable bird with a white crest and a brown body. It is known for its loud, chattering calls and its gregarious nature, often seen in flocks. This laughingthrush inhabits forests and scrublands in South and Southeast Asia, including India and Thailand. Its distinctive crest and lively calls make it a fascinating species to observe."
Asian Fairy-bluebird,Irena puella,"The Asian Fairy-bluebird is a striking bird with vibrant blue and black plumage. It is known for its melodious calls and its preference for feeding on fruits and nectar. This fairy-bluebird inhabits forests and woodlands in South and Southeast Asia, including India and Malaysia. Its vivid colors and enchanting calls make it a favorite among bird watchers."
Asian Glossy Starling,Aplonis panayensis,"The Asian Glossy Starling is a medium-sized bird with glossy black plumage and red eyes. It is known for its adaptability and its varied diet, which includes fruits, insects, and small vertebrates. This starling inhabits forests, gardens, and urban areas in Southeast Asia, including the Philippines and Indonesia. Its glossy plumage and versatile behavior make it a popular species to observe."
Common Hill Myna,Gracula religiosa,"The Common Hill Myna is a large, glossy black bird with bright yellow wattles and a loud, distinctive call. It is known for its exceptional mimicry skills and its preference for fruits and insects. This myna inhabits forests and woodlands in South and Southeast Asia, including India and Thailand. Its striking appearance and vocal abilities make it a favorite among bird enthusiasts and aviculturists."
Javan Myna,Acridotheres javanicus,"The Javan Myna is a medium-sized bird with black plumage and distinctive yellow eye-rings. It is known for its adaptability and its omnivorous diet, feeding on fruits, insects, and human food scraps. This myna inhabits urban areas and agricultural lands in Southeast Asia, including Indonesia and Malaysia. Its bold behavior and adaptability make it a common sight in cities and towns."
Bali Myna,Leucopsar rothschildi,The Bali Myna is a critically endangered bird with striking white plumage and blue eye-rings. It is known for its distinctive appearance and its preference for feeding on fruits and insects. This myna inhabits forests and woodlands on the island of Bali in Indonesia. Its rare status and beautiful plumage make it a highly sought-after species for conservationists and bird watchers.
Oriental Magpie-Robin,Copsychus saularis,"The Oriental Magpie-Robin is a small, black and white bird with a melodious song. It is known for its cheerful calls and its active foraging behavior, feeding on insects and small invertebrates. This magpie-robin inhabits forests, gardens, and urban areas in South and Southeast Asia, including India and Thailand. Its distinctive appearance and pleasant song make it a favorite among bird enthusiasts."
White-rumped Shama,Copsychus malabaricus,"The White-rumped Shama is a small, slender bird with glossy black plumage and a distinctive white rump. It is known for its beautiful, flute-like song and its preference for dense undergrowth. This shama inhabits forests and woodlands in South and Southeast Asia, including India and Malaysia. Its striking appearance and enchanting song make it a prized species for bird watchers and aviculturists."
Mangrove Blue Flycatcher,Cyornis rufigastra,"The Mangrove Blue Flycatcher is a small, vibrant bird with a blue upper body and an orange breast. It is known for its cheerful calls and its preference for mangrove habitats, where it feeds on insects and small invertebrates. This flycatcher inhabits mangroves and coastal forests in Southeast Asia, including the Philippines and Indonesia. Its bright colors and lively behavior make it a favorite among bird watchers."
Brown-chested Jungle Flycatcher,Cyornis brunneatus,"The Brown-chested Jungle Flycatcher is a small, elusive bird with a brown chest and a pale underbelly. It is known for its soft, melodious calls and its preference for dense forest habitats, where it feeds on insects and small invertebrates. This flycatcher inhabits forests in Southeast Asia, including Malaysia and Thailand. Its subtle colors and enchanting song make it a charming species to observe."
Yellow-rumped Flycatcher,Ficedula zanthopygia,"The Yellow-rumped Flycatcher is a small bird with bright yellow underparts and a distinctive yellow rump. It is known for its agile flight and its preference for catching insects mid-air. This flycatcher inhabits forests, gardens, and parks in East Asia, including China and Japan. Its striking yellow rump and active behavior make it a delightful species to observe."
Scarlet-backed Flowerpecker,Dicaeum cruentatum,"The Scarlet-backed Flowerpecker is a tiny bird with a bright scarlet back and a black belly. It is known for its preference for feeding on nectar, fruits, and small insects. This flowerpecker inhabits forests, gardens, and urban areas in Southeast Asia, including Malaysia and Thailand. Its vivid coloration and cheerful nature make it a favorite among bird enthusiasts."
Brown-throated Sunbird,Anthreptes malacensis,"The Brown-throated Sunbird is a small, colorful bird with a metallic green upper body and a brown throat. It is known for its sweet song and its preference for feeding on nectar and insects. This sunbird inhabits forests, gardens, and mangroves in Southeast Asia, including Malaysia and Singapore. Its iridescent plumage and melodious calls make it a popular species for bird watchers."
Van Hasselt's Sunbird,Leptocoma brasiliana,"Van Hasselt's Sunbird is a small, vibrant bird with a metallic purple upper body and a black belly. It is known for its preference for feeding on nectar and insects. This sunbird inhabits forests and gardens in Southeast Asia, including Thailand and Indonesia. Its dazzling plumage and lively behavior make it a favorite among bird enthusiasts."
Olive-backed Sunbird,Cinnyris jugularis,"The Olive-backed Sunbird is a small, active bird with olive-green upperparts and a yellow underbelly. It is known for its cheerful song and its preference for feeding on nectar and insects. This sunbird inhabits forests, gardens, and urban areas in Southeast Asia, including Malaysia and the Philippines. Its bright colors and sweet song make it a delightful species to observe."
Eurasian Tree Sparrow,Passer montanus,"The Eurasian Tree Sparrow is a small bird with a brown crown and a distinctive black cheek patch. It is known for its adaptability and its preference for seeds and insects. This sparrow inhabits urban areas, farmlands, and woodlands across Europe and Asia. Its sociable nature and distinctive appearance make it a common and recognizable species."
House Sparrow,Passer domesticus,"The House Sparrow is a small bird with gray and brown plumage and a distinctive black bib. It is known for its adaptability and its preference for seeds and insects. This sparrow inhabits urban areas, farmlands, and woodlands across the world. Its bold behavior and widespread presence make it a familiar and beloved species."
Baya Weaver,Ploceus philippinus,"The Baya Weaver is a small bird with a bright yellow head and an intricate nest-building behavior. It is known for its unique nests, which are woven from grasses and hung from tree branches. This weaver inhabits grasslands, wetlands, and farmlands in South and Southeast Asia, including India and Thailand. Its elaborate nests and striking appearance make it a fascinating species to observe."
